E[1] [eV],Im(eps)_ecutwfc_30,Im(eps)_ecutwfc_40,Im(eps)_ecutwfc_50,Im(eps)_ecutwfc_60,Im(eps)_ecutwfc_70,Im(eps)_ecutwfc_80,Im(eps)_ecutwfc_90,Im(eps)_ecutwfc_100
10.488720,0.07303600,0.10873900,0.08035700,0.08155500,0.08153200,0.08095000,0.08081400,0.08071300
10.526310,0.07530300,0.11264000,0.08501400,0.08465100,0.08528100,0.08523100,0.08518600,0.08514100
10.563910,0.08100400,0.11201900,0.08959400,0.08512900,0.08644100,0.08649100,0.08649500,0.08648800
10.601500,0.08917300,0.11172400,0.09230900,0.08358700,0.08577300,0.08595600,0.08598900,0.08600500
10.639100,0.09908700,0.11446200,0.09678800,0.08545400,0.08732200,0.08777800,0.08785900,0.08790400
10.676690,0.10853200,0.11498100,0.10674500,0.09395200,0.09413600,0.09451900,0.09458100,0.09461300
10.714280,0.11518800,0.11006000,0.11945600,0.10671400,0.10443500,0.10450900,0.10451000,0.10451400
10.751880,0.11737800,0.10264000,0.12573000,0.11638800,0.11210600,0.11166400,0.11159900,0.11157900
10.789470,0.11540100,0.09504700,0.12291400,0.11836900,0.11428300,0.11336600,0.11322300,0.11315300
10.827070,0.11162400,0.08814500,0.11718000,0.11402500,0.11199200,0.11093400,0.11074700,0.11063500
10.864660,0.10869400,0.08351900,0.11304600,0.10775100,0.10729400,0.10661900,0.10647200,0.10637800
10.902250,0.10750100,0.08192100,0.11155400,0.10507700,0.10420100,0.10408100,0.10404300,0.10402000
10.939850,0.10854100,0.08214600,0.10976700,0.10654600,0.10415100,0.10405100,0.10405000,0.10405800
10.977440,0.11145700,0.08139900,0.10622300,0.10682000,0.10341500,0.10288400,0.10281100,0.10276900
11.015040,0.11492600,0.07873000,0.10252500,0.10406600,0.10056000,0.09980500,0.09967000,0.09958500
11.052630,0.11732900,0.07644200,0.09951900,0.10108600,0.09878500,0.09800700,0.09787200,0.09779300
11.090220,0.11948200,0.07657500,0.09661800,0.10054700,0.09959900,0.09910900,0.09901400,0.09896200
11.127820,0.12293800,0.07758400,0.09207300,0.10320900,0.10161400,0.10160900,0.10160900,0.10161200
11.165410,0.12628000,0.07768600,0.08632100,0.10696900,0.10404500,0.10394400,0.10396700,0.10398300
11.203010,0.12615200,0.07922500,0.08156000,0.10745700,0.10695400,0.10609000,0.10598500,0.10591000
11.240600,0.11980200,0.08547600,0.07777600,0.10246800,0.10840500,0.10762200,0.10744500,0.10730200
11.278190,0.10799600,0.09696800,0.07539300,0.09340500,0.10324300,0.10416400,0.10422500,0.10422000
11.315790,0.09608500,0.11070000,0.07556100,0.08448400,0.09236300,0.09457800,0.09494900,0.09516600
