E[1] [eV],Im(eps)_ecutwfc_30,Im(eps)_ecutwfc_40,Im(eps)_ecutwfc_50,Im(eps)_ecutwfc_60,Im(eps)_ecutwfc_70,Im(eps)_ecutwfc_80,Im(eps)_ecutwfc_90,Im(eps)_ecutwfc_100
17.556390,0.38803800,0.38248300,0.47480600,0.40230800,0.39299900,0.39290200,0.39300000,0.39308500
17.593980,0.37502900,0.36234500,0.45950100,0.39744900,0.37852700,0.37588400,0.37557000,0.37533800
17.631580,0.36078300,0.35359800,0.42297600,0.39648400,0.37284000,0.36780400,0.36702400,0.36642900
17.669170,0.34146200,0.34510100,0.37798600,0.39683500,0.37575300,0.36964400,0.36853900,0.36767400
17.706770,0.32546000,0.32995400,0.34209500,0.39386000,0.38363900,0.37909300,0.37807600,0.37722600
17.744360,0.31721600,0.31551300,0.32497200,0.38440700,0.38813500,0.38760700,0.38733500,0.38704900
17.781950,0.31665400,0.31364900,0.32510500,0.36629800,0.38345900,0.38620600,0.38668200,0.38703700
17.819550,0.31352800,0.32269400,0.33253000,0.34724100,0.36777900,0.37245700,0.37334400,0.37407100
17.857140,0.29993600,0.32579200,0.33579800,0.33330900,0.34867600,0.35302300,0.35390500,0.35463900
17.894740,0.28912000,0.31972000,0.33029800,0.32602800,0.33338300,0.33611600,0.33673400,0.33724800
17.932330,0.29013200,0.31762100,0.32100300,0.32531200,0.32540300,0.32634900,0.32664100,0.32690100
17.969920,0.29656100,0.31939100,0.31223800,0.32241800,0.32076600,0.32090600,0.32099400,0.32110500
18.007520,0.30049100,0.32114600,0.30663700,0.31475700,0.31245000,0.31262200,0.31266700,0.31273200
18.045110,0.30419200,0.31961800,0.30316100,0.31058100,0.30718300,0.30647300,0.30632500,0.30623300
18.082710,0.31236300,0.31662100,0.30471000,0.31392400,0.31159700,0.31021600,0.30988700,0.30964100
18.120300,0.32094400,0.31556800,0.31668100,0.32315500,0.32345700,0.32211700,0.32175900,0.32146600
18.157890,0.32199500,0.31540800,0.33555500,0.33082300,0.33590800,0.33542200,0.33521100,0.33499200
18.195490,0.31934400,0.31738700,0.35267400,0.32732900,0.33681700,0.33812800,0.33827700,0.33828100
18.233080,0.31787700,0.32252200,0.35950700,0.32120400,0.32589300,0.32820900,0.32860400,0.32877100
18.270680,0.31753500,0.32180900,0.34775800,0.32137000,0.31433800,0.31531900,0.31556700,0.31565300
18.308270,0.32040200,0.31087200,0.32323400,0.32662300,0.31098300,0.30914800,0.30890100,0.30864300
18.345860,0.32948500,0.29891000,0.29728400,0.33027100,0.31728700,0.31413600,0.31357100,0.31309500
18.383460,0.33864500,0.29366700,0.28063500,0.32627500,0.32221800,0.32052700,0.32020000,0.31996400
18.421050,0.34527500,0.29466900,0.28132500,0.31742100,0.32137100,0.32103100,0.32096600,0.32098400
18.458640,0.34906800,0.29914100,0.29393500,0.30885400,0.32105200,0.32183800,0.32191800,0.32204700
18.496240,0.34768200,0.30347800,0.29910800,0.30511800,0.31928700,0.32199400,0.32242200,0.32280100
18.533830,0.34496000,0.30149600,0.28628700,0.30170000,0.31360700,0.31702700,0.31764600,0.31814800
18.571430,0.34331700,0.29533900,0.27137200,0.29015600,0.30467500,0.30831400,0.30896600,0.30944700
18.609020,0.33460400,0.28974100,0.26813600,0.27089300,0.28763300,0.29210100,0.29292400,0.29351100
18.646610,0.31326100,0.28497500,0.27258900,0.25011100,0.26035000,0.26461400,0.26548900,0.26614000
18.684210,0.28830100,0.28214500,0.27622400,0.23712700,0.23371700,0.23549700,0.23599000,0.23638800
18.721800,0.26899000,0.28435000,0.27817400,0.23819500,0.22191600,0.21996800,0.21979000,0.21970500
18.759400,0.25709200,0.28802800,0.27851200,0.25041900,0.22871000,0.22338800,0.22252800,0.22193200
18.796990,0.24919200,0.29267100,0.28016800,0.26869900,0.24988600,0.24334100,0.24207900,0.24115300
18.834590,0.24159100,0.30058900,0.28457800,0.28811500,0.27611400,0.27130000,0.27023500,0.26942000
18.872180,0.23710000,0.31341400,0.29158100,0.30132900,0.29625000,0.29369800,0.29312400,0.29267000
18.909770,0.23667200,0.32255000,0.29633600,0.30046000,0.30255500,0.30197500,0.30182400,0.30169300
18.947370,0.23784800,0.31502300,0.28996000,0.28879600,0.29626100,0.29783700,0.29808200,0.29824200
18.984960,0.24372600,0.29855500,0.28134900,0.27903200,0.28459400,0.28690500,0.28732000,0.28761500
19.022560,0.25273200,0.28461900,0.28108000,0.27275800,0.27401300,0.27564900,0.27597200,0.27622200
19.060150,0.25280300,0.27462000,0.28530600,0.26888900,0.26638900,0.26709700,0.26727900,0.26744500
19.097740,0.24569100,0.25994200,0.28367300,0.27105100,0.26606200,0.26548600,0.26542700,0.26542000
19.135340,0.24344600,0.23651000,0.27202600,0.27644000,0.27096900,0.26950300,0.26925400,0.26909600
19.172930,0.24774900,0.21557600,0.25513000,0.27434800,0.27039300,0.26911200,0.26887900,0.26872700
19.210530,0.25368500,0.20347000,0.23956500,0.25936000,0.26048000,0.26030900,0.26026700,0.26024700
19.248120,0.25747300,0.19784600,0.23004000,0.23837700,0.24574200,0.24692400,0.24713000,0.24726900
19.285710,0.25927600,0.19753500,0.22892300,0.21839300,0.22938200,0.23162400,0.23202600,0.23230100
19.323310,0.26605400,0.20252900,0.23425600,0.20734400,0.21377000,0.21597800,0.21639900,0.21668700
19.360900,0.28182600,0.21342100,0.23661500,0.20986400,0.20655400,0.20687800,0.20698000,0.20702800
19.398490,0.29856900,0.23356100,0.22954800,0.22277900,0.21303200,0.21112000,0.21078300,0.21049900
19.436090,0.30256700,0.26249200,0.22281500,0.23795700,0.22868000,0.22623800,0.22575000,0.22535100
19.473680,0.28830400,0.28890700,0.22636900,0.24969200,0.24392300,0.24245600,0.24215100,0.24191800
19.511280,0.26472200,0.29744800,0.23517400,0.26030300,0.25684500,0.25569000,0.25547100,0.25534400
19.548870,0.24416700,0.28940300,0.23623000,0.26602700,0.26856600,0.26793800,0.26777300,0.26770100
19.586470,0.22902700,0.27798300,0.23025800,0.25639700,0.26775100,0.26916000,0.26935900,0.26954200
19.624060,0.21644200,0.26581800,0.23087800,0.23862500,0.25287200,0.25553600,0.25602800,0.25640400
19.661650,0.21017500,0.25216900,0.24296200,0.22590100,0.23677300,0.23919300,0.23965100,0.23998400
19.699250,0.21225000,0.24562600,0.25990000,0.22231500,0.22492500,0.22637800,0.22666000,0.22685000
19.736840,0.21638500,0.25136800,0.27328400,0.22535000,0.21937000,0.21917100,0.21917400,0.21916800
19.774440,0.21969000,0.25831800,0.27803500,0.23159500,0.22033100,0.21875800,0.21849900,0.21832100
19.812030,0.22372500,0.25221000,0.27731700,0.24101900,0.22530400,0.22298900,0.22260100,0.22235500
19.849620,0.22843500,0.23227800,0.27472700,0.25035300,0.23415600,0.23099600,0.23045800,0.23011400
19.887220,0.23355100,0.21183000,0.26730400,0.25328300,0.24241600,0.23920300,0.23861100,0.23821200
19.924810,0.23501900,0.19885300,0.25093400,0.25138000,0.24492100,0.24248200,0.24197600,0.24160400
19.962400,0.22822900,0.19433600,0.22701300,0.24800300,0.24341700,0.24186600,0.24152300,0.24124300
20.000000,0.21789600,0.19677200,0.20329800,0.24240100,0.24022300,0.23952800,0.23938800,0.23925900
