E[1] [eV],Re(eps)_ecutwfc_30,Re(eps)_ecutwfc_40,Re(eps)_ecutwfc_50,Re(eps)_ecutwfc_60,Re(eps)_ecutwfc_70,Re(eps)_ecutwfc_80,Re(eps)_ecutwfc_90,Re(eps)_ecutwfc_100
5.714285,1.01878500,1.20976100,1.19781400,1.17628900,1.16530700,1.16229900,1.16207900,1.16212600
5.751880,0.87909800,1.00965900,1.00054300,0.98688200,0.98035800,0.97849400,0.97836200,0.97839400
5.789474,0.85832800,0.90768000,0.90479900,0.90120700,0.89940400,0.89866800,0.89861800,0.89863200
5.827067,0.82677700,0.86013700,0.85493800,0.84605300,0.84237200,0.84101800,0.84092400,0.84094200
5.864661,0.71205900,0.76673600,0.76071900,0.74843000,0.74376500,0.74214500,0.74203700,0.74205700
5.902255,0.62526800,0.67609800,0.67840400,0.67382300,0.67235100,0.67162900,0.67158700,0.67159900
5.939849,0.62865400,0.65326800,0.66112200,0.66142000,0.66191400,0.66184400,0.66184900,0.66185100
5.977444,0.66244300,0.67054400,0.67823500,0.67842900,0.67885500,0.67893700,0.67895100,0.67895000
6.015037,0.67891600,0.68646500,0.69298000,0.69036800,0.68884900,0.68855700,0.68853900,0.68854200
6.052631,0.65899400,0.66989700,0.66593500,0.65422000,0.64888600,0.64771500,0.64763100,0.64764100
6.090225,0.60073900,0.60799300,0.58936000,0.57178200,0.56488000,0.56327800,0.56316300,0.56317300
6.127820,0.50662400,0.51548300,0.48888200,0.46991100,0.46271700,0.46094100,0.46081400,0.46082600
6.165413,0.40363300,0.40954900,0.38776000,0.37828200,0.37466600,0.37374700,0.37368400,0.37369100
6.203007,0.35945600,0.35740000,0.35623100,0.36387800,0.36568300,0.36605700,0.36609100,0.36609000
6.240601,0.38681900,0.38041000,0.39072500,0.40309700,0.40562200,0.40618900,0.40623700,0.40623600
6.278195,0.42822600,0.41798200,0.43115000,0.44347900,0.44598000,0.44661100,0.44666200,0.44666000
6.315789,0.47234800,0.46636700,0.48861900,0.50681100,0.51192400,0.51315700,0.51325100,0.51324500
6.353383,0.54939200,0.55222800,0.57993100,0.60029900,0.60633100,0.60770900,0.60781400,0.60780500
6.390977,0.63310100,0.64283500,0.66374900,0.67596300,0.67886600,0.67945200,0.67950000,0.67949600
6.428571,0.66729300,0.68062200,0.68571200,0.68218700,0.67975600,0.67908500,0.67904100,0.67904500
6.466165,0.63578200,0.64516100,0.63618500,0.62110400,0.61567100,0.61435100,0.61426000,0.61426600
6.503759,0.57613200,0.57549300,0.56346100,0.55059600,0.54693400,0.54610800,0.54605300,0.54605500
6.541353,0.53210900,0.53412200,0.53615600,0.54041200,0.54221200,0.54265900,0.54269600,0.54269200
6.578947,0.54951500,0.56589700,0.58267100,0.60107500,0.60666100,0.60792100,0.60801700,0.60801000
6.616541,0.62500400,0.64786100,0.66852700,0.68843500,0.69438100,0.69568400,0.69578600,0.69577800
6.654135,0.72004600,0.73529800,0.74913900,0.75964600,0.76260000,0.76326100,0.76331700,0.76331000
6.691729,0.79847500,0.78931700,0.78747400,0.78507600,0.78378800,0.78355200,0.78354300,0.78353900
6.729323,0.82664600,0.78842900,0.77652000,0.76660300,0.76320300,0.76248500,0.76243900,0.76243800
6.766917,0.79811500,0.75320000,0.74278500,0.73078900,0.72728200,0.72651500,0.72646500,0.72646400
6.804511,0.75685900,0.72068400,0.70924700,0.69471900,0.69047600,0.68951200,0.68945000,0.68944900
6.842104,0.73077900,0.68699500,0.66034400,0.63940000,0.63323700,0.63181200,0.63172300,0.63172200
6.879699,0.68233300,0.62087700,0.58854200,0.57117600,0.56656100,0.56548700,0.56542500,0.56542400
6.917293,0.60780200,0.55797900,0.54628500,0.54544500,0.54577300,0.54582600,0.54584000,0.54583700
6.954887,0.57141800,0.55508100,0.56571400,0.57821000,0.58182400,0.58260700,0.58266700,0.58266100
6.992481,0.59329900,0.60301900,0.61914300,0.63402100,0.63793500,0.63875800,0.63881700,0.63881200
7.030074,0.64493400,0.66112800,0.66912800,0.67668700,0.67865000,0.67902600,0.67905100,0.67904500
7.067669,0.69189000,0.69704200,0.69331800,0.69358800,0.69391100,0.69397200,0.69397300,0.69396600
7.105263,0.71339900,0.70951600,0.70816600,0.71206800,0.71357200,0.71394300,0.71396500,0.71395600
7.142857,0.72559400,0.73307500,0.74438300,0.75501000,0.75803600,0.75874100,0.75878700,0.75877700
7.180451,0.75952700,0.77921000,0.79755000,0.80931200,0.81234300,0.81301200,0.81305500,0.81304400
7.218045,0.81036300,0.82912100,0.84522200,0.85065400,0.85175700,0.85194000,0.85194800,0.85193600
7.255639,0.85424000,0.85928200,0.86238600,0.85669800,0.85469900,0.85414500,0.85409700,0.85408500
7.293232,0.86766500,0.85184400,0.84072900,0.82756300,0.82379800,0.82283200,0.82275300,0.82274000
7.330826,0.84852400,0.81651500,0.79848300,0.78409300,0.78030200,0.77935200,0.77927600,0.77926600
7.368421,0.81788200,0.77420700,0.75859400,0.75308600,0.75205300,0.75177700,0.75175800,0.75175700
7.406014,0.78598900,0.75166500,0.75278600,0.76120400,0.76369100,0.76425300,0.76430400,0.76431500
7.443608,0.77318800,0.76928300,0.78333100,0.79890900,0.80294900,0.80391100,0.80400500,0.80403000
7.481203,0.79453500,0.81379700,0.82787900,0.84366600,0.84735800,0.84821500,0.84830800,0.84834000
7.518797,0.83783100,0.86379300,0.86735900,0.87651200,0.87849000,0.87890400,0.87895800,0.87897800
7.556391,0.88445300,0.90185100,0.88824600,0.88800000,0.88795500,0.88798600,0.88800100,0.88801000
7.593984,0.91813800,0.91697400,0.89264600,0.88737800,0.88615200,0.88599900,0.88599900,0.88601000
7.631578,0.92870200,0.91505700,0.88512100,0.87344500,0.87015300,0.86958000,0.86954900,0.86956100
7.669173,0.92226700,0.89663500,0.85432600,0.83845600,0.83446600,0.83374400,0.83370100,0.83371300
7.706767,0.90121300,0.85884100,0.82100000,0.81265300,0.81136500,0.81110200,0.81109100,0.81109700
7.744360,0.86679400,0.83060100,0.81445900,0.81194000,0.81232700,0.81228000,0.81227700,0.81227400
7.781955,0.84237800,0.82397300,0.81864700,0.81401800,0.81373400,0.81360500,0.81358900,0.81358200
7.819549,0.83450000,0.81861200,0.81625100,0.81218900,0.81206500,0.81219200,0.81220900,0.81221800
7.857142,0.82635100,0.81503800,0.82296000,0.82559300,0.82681100,0.82730600,0.82737100,0.82740100
7.894736,0.82341900,0.83089200,0.84778100,0.85582300,0.85768900,0.85819500,0.85825700,0.85827800
7.932330,0.84173300,0.86228700,0.87861800,0.88819200,0.88971200,0.89003900,0.89006800,0.89006600
7.969924,0.87524200,0.89484200,0.90223200,0.90790900,0.90824600,0.90827900,0.90828400,0.90827500
8.007519,0.91019500,0.91487300,0.90993900,0.91050200,0.91010500,0.90991600,0.90990700,0.90989600
