#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                k_x (rlu)          k_y (rlu)          k_z (rlu)
#
      0.723979831        -15.1214371        -9.38574409        -4.11614704       -0.981546879         6.59135914         11.1195040         13.0477943         13.9330091        0.471428543        0.149011612E-7      0.00000000   
      0.745918632        -15.0847864        -9.44357681        -4.12845421       -0.923730195         6.51825714         11.1391897         13.4056787         14.2039289        0.485714287         0.00000000         0.00000000   
      0.767857432        -15.0723820        -9.46344757        -4.13116598       -0.905066490         6.49394608         11.1449547         13.5731058         14.2943077        0.499999970        0.149011612E-7      0.00000000     [M]
      0.790023506        -15.0696335        -9.46036053        -4.14796400       -0.900735855         6.49490499         11.1681137         13.5416479         14.3494787        0.491666645        0.166666359E-1      0.00000000   
      0.812189639        -15.0614100        -9.45143795        -4.19653320       -0.888788283         6.49894953         11.2357435         13.5279360         14.4178467        0.483333260        0.333333164E-1      0.00000000   
      0.834355712        -15.0477953        -9.43615818        -4.27509212       -0.870288789         6.50367165         11.3478756         13.5950994         14.4136810        0.474999934        0.499999672E-1      0.00000000   
      0.856521785        -15.0289412        -9.41417503        -4.38350677       -0.843801975         6.50635004         11.5036421         13.6604204         14.4060326        0.466666609        0.666665882E-1      0.00000000   
      0.878687859        -15.0050631        -9.38550472        -4.51991367       -0.808725476         6.51219034         11.6944065         13.6800442         14.4484730        0.458333254        0.833332241E-1      0.00000000   
      0.900853992        -14.9764357        -9.35025215        -4.68082762       -0.765621245         6.52327776         11.9121046         13.7276220         14.5064859        0.449999869        0.999998748E-1      0.00000000   
      0.923020124        -14.9434147        -9.31016731        -4.86018276       -0.715813756         6.53277540         12.1580782         13.8306971         14.5332108        0.441666543        0.116666555         0.00000000   
      0.945186198        -14.9064417        -9.26446438        -5.05310965       -0.661953926         6.53723288         12.4285650         13.9280787         14.5156536        0.433333158        0.133333176         0.00000000   
      0.967352271        -14.8660460        -9.21010399        -5.26180696       -0.601981878         6.54229116         12.7087755         13.9968958         14.4737587        0.424999833        0.149999797         0.00000000   
      0.989518404        -14.8228607        -9.14928341        -5.48208761       -0.535179019         6.54518843         12.9927282         14.0523262         14.4501505        0.416666478        0.166666463         0.00000000   
       1.01168454        -14.7776384        -9.08684826        -5.70127773       -0.466967791         6.53811884         13.2781734         14.0577173         14.4864178        0.408333153        0.183333114         0.00000000   
