#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                k_x (rlu)          k_y (rlu)          k_z (rlu)
#
      0.723979831        -14.5430546        -8.83947659        -4.11664295       -0.981336117         4.88651943         9.81387138         12.0987711         12.7620897        0.471428543        0.149011612E-7      0.00000000   
      0.745918632        -14.5064039        -8.89730930        -4.12893915       -0.923529208         4.81342125         9.83356667         12.4566507         13.0329924        0.485714287         0.00000000         0.00000000   
      0.767857432        -14.4939995        -8.91718006        -4.13164663       -0.904868960         4.78911209         9.83933544         12.6240749         13.1233654        0.499999970        0.149011612E-7      0.00000000     [M]
      0.790023506        -14.4912500        -8.91409302        -4.14844418       -0.900538385         4.79007101         9.86249542         12.5926208         13.1785336        0.491666645        0.166666359E-1      0.00000000   
      0.812189639        -14.4830265        -8.90517044        -4.19701052       -0.888592541         4.79411650         9.93012714         12.5789137         13.2468891        0.483333260        0.333333164E-1      0.00000000   
      0.834355712        -14.4694118        -8.88989067        -4.27556324       -0.870097637         4.79884100         10.0422649         12.6460829         13.2427063        0.474999934        0.499999672E-1      0.00000000   
      0.856521785        -14.4505577        -8.86790752        -4.38396931       -0.843616903         4.80152273         10.1980410         12.7114143         13.2350368        0.466666609        0.666665882E-1      0.00000000   
      0.878687859        -14.4266796        -8.83923721        -4.52036619       -0.808547199         4.80736542         10.3888206         12.7310572         13.2774506        0.458333254        0.833332241E-1      0.00000000   
      0.900853992        -14.3980522        -8.80398464        -4.68126822       -0.765451550         4.81845570         10.6065340         12.7786579         13.3354311        0.449999869        0.999998748E-1      0.00000000   
      0.923020124        -14.3650312        -8.76389980        -4.86060762       -0.715654969         4.82795668         10.8525238         12.8817558         13.3621159        0.441666543        0.116666555         0.00000000   
      0.945186198        -14.3280582        -8.71819687        -5.05351686       -0.661808074         4.83241844         11.1230268         12.9791565         13.3445187        0.433333158        0.133333176         0.00000000   
      0.967352271        -14.2876625        -8.66383648        -5.26219511       -0.601850331         4.83748150         11.4032583         13.0479870         13.3025818        0.424999833        0.149999797         0.00000000   
      0.989518404        -14.2444773        -8.60301590        -5.48245621       -0.535063088         4.84038448         11.6872339         13.1034269         13.2789326        0.416666478        0.166666463         0.00000000   
       1.01168454        -14.1992550        -8.54058075        -5.70162535       -0.466868341         4.83331966         11.9727049         13.1088238         13.3151598        0.408333153        0.183333114         0.00000000   
       1.03385067        -14.1528807        -8.47455120        -5.91970491       -0.397177100         4.82449341         12.2430744         13.0300503         13.4205465        0.399999768        0.199999765         0.00000000   
